Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
Italy,ITA,Men,1995,25.709913921863,25.4129194544391,25.999515285617,0.127142894195387,0.10296942179852,0.153778691695079,0.0131729383332746,0.00851649074865027,0.019353428152919,0.00695259213818492,0.00434286104349482,0.0104354029323583,0.0261129586747379,0.0190201779548326,0.0351448732429637,0.400156291028285,0.362493918880274,0.439246805410859,0.439635264063406,0.39915596795229,0.479354491194417,0.113969955862112,0.0901739191540534,0.140740459041977,0.0121787978239625,0.00757014774427082,0.0184367709223647,0.000994140509312069,0.00042918970000979,0.00192771366059446
Italy,ITA,Men,1996,25.7935400226609,25.5081310737884,26.0751802016606,0.130820030821825,0.106236557175187,0.157972866939074,0.0140444242909386,0.00915947144974578,0.0205811667725341,0.00670992867222799,0.00419704250508938,0.0100295397487536,0.0253715102943827,0.0184244979613905,0.0341615781198476,0.395412750803144,0.358060809122411,0.433812367046474,0.44168577950842,0.401347179531421,0.480787295678134,0.116775606530887,0.0926103829806395,0.14376923072484,0.0129230128496923,0.00811348798644925,0.0194493785024935,0.00112141144124639,0.00049300270656865,0.00214278299548364
Italy,ITA,Men,1997,25.8778451955925,25.5941416532406,26.156555789283,0.134551747806652,0.109627097019882,0.16202263215701,0.0149534044688192,0.00979892860650853,0.0217718455090671,0.00646796810889941,0.00404068858459905,0.00964861310406265,0.0246461430049907,0.0179087407194079,0.0330891117264599,0.390658470416468,0.353997065184579,0.428224911715408,0.44367567076299,0.403839422563746,0.482817700846213,0.119598343337833,0.0952013499063416,0.146996249096402,0.0136923702012006,0.00867458434667259,0.0204553048671772,0.00126103426761855,0.000565013940152094,0.00237625887208707
Italy,ITA,Men,1998,25.9618203239922,25.6829483506757,26.2386882600912,0.138323853701118,0.113275492850406,0.166329585220873,0.0158964952630998,0.010420476617465,0.0230459435239283,0.00622933929286765,0.00389603146630364,0.0093108744746812,0.0239380921057073,0.0173395188913453,0.0320845245444389,0.385892087724953,0.349745181901611,0.42279239385316,0.445616627275354,0.406261724511341,0.484678718458749,0.122427358438018,0.0976911549666515,0.14982977955274,0.0144836945623069,0.00918793650935113,0.0215140972085117,0.00141280070079288,0.000638210522345671,0.00263406721397948
Italy,ITA,Men,1999,26.0453252901433,25.768146325796,26.3249485358341,0.142129519845232,0.116633152813218,0.170411657605078,0.0168703752370556,0.0111465567012687,0.0242855219284461,0.00599415475664648,0.00372799368767019,0.00896390571884076,0.0232476922565019,0.0167999192989766,0.0312052110692237,0.381150432763726,0.345164436091128,0.418131065695298,0.447478200477894,0.408065996778746,0.485887020600164,0.125259144608176,0.100267982170994,0.153360368782184,0.0152932012872834,0.00975312603731619,0.0226522747036407,0.00157717394977225,0.000724754287205255,0.00291892554516152
Italy,ITA,Men,2000,26.1272184337009,25.8499850586104,26.4040290237178,0.145948907939769,0.12005928129469,0.174585218583957,0.0178712907355325,0.0119048010415562,0.0257240894590326,0.00576348638230124,0.00357251134598921,0.00861543072270854,0.0225764753613614,0.016334030155063,0.0301807588198798,0.376450620808949,0.340984762731968,0.413412107654562,0.449260509607619,0.410210083014065,0.487248135335463,0.128077617204237,0.10286300355003,0.156190144032065,0.01611846183354,0.0102707648265149,0.023784431261947,0.0017528289019925,0.000817455416693256,0.00321689251935672
Italy,ITA,Men,2001,26.2084277244413,25.9296269392784,26.484170838299,0.149787536765672,0.12367724927599,0.178342155370618,0.0189022472733069,0.0126558409476789,0.0269220095125241,0.00553797603982091,0.00343718341594942,0.00824458209032436,0.0219219969432787,0.0158436356236502,0.0292695017485413,0.37177573531133,0.336141615935052,0.408524029926638,0.450976755039898,0.412201256022039,0.488483835197818,0.130885289492365,0.105383465686518,0.158938322619972,0.0169607276268503,0.0108658433286834,0.0248735760418717,0.00194151964645657,0.000925570705949954,0.00354027616224222
Italy,ITA,Men,2002,26.2870901633657,26.0061236556304,26.5656991454262,0.153642129375957,0.12716738065344,0.182585984345964,0.0199582967707056,0.0133940148244569,0.0282013601641535,0.00531909711792516,0.00327767158564248,0.0079315071454756,0.0212882391948904,0.0153491341402795,0.0284460629064052,0.367175170031398,0.332104232086874,0.403642711035721,0.452575364379829,0.414010462485783,0.489559571674733,0.133683832605251,0.107974505857506,0.162266330664624,0.0178161225843518,0.0114133115851458,0.0259739668924706,0.00214217418635388,0.00104361114948915,0.00386840172068451
Italy,ITA,Men,2003,26.362828058697,26.0723941158094,26.6422081784581,0.157521907009995,0.130374275935316,0.186727552362288,0.021044376828724,0.0141814773427727,0.0297262221678768,0.00510795077625233,0.00315100780658475,0.00762650890199445,0.0206744144119029,0.0148060495698696,0.0276741663520049,0.362641305534479,0.327713777697365,0.398602754442733,0.454054422367371,0.415627403343874,0.491381818248748,0.136477530181271,0.110244021790256,0.165630414883361,0.0186891266742657,0.0119845179883551,0.0272024904045418,0.00235525015445831,0.00116248964682936,0.00420885146071741
Italy,ITA,Men,2004,26.433558293535,26.1422059229781,26.7129517538631,0.161407367266918,0.133551171633046,0.190728439879717,0.0221614747428401,0.0149114437601853,0.0311720972989675,0.00490405057480476,0.00302185548701735,0.00735375025985581,0.0200824993523175,0.0143300526110376,0.0270141942527473,0.358179739804879,0.323224347756549,0.394178438514807,0.455426343101081,0.417505904934551,0.492882811604118,0.139245892524078,0.112455884691397,0.168626223413952,0.0195813011902958,0.0124720474928327,0.028456029088851,0.00258017355254429,0.00127729304723892,0.00455927631419169
